cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
17114,2025,15451,14140,1104,207,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17155,2024,11726,9793,1561,372,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17155,2025,11792,9951,1453,388,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
18017,2024,29909,27603,971,1335,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
18017,2025,29940,27735,935,1270,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
18087,2024,139524,128028,7093,4403,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
18087,2025,140392,128837,7183,4372,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
18140,2024,32622,30926,909,787,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
18140,2025,32774,31138,846,790,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
19046,2024,14140,13590,484,66,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
19046,2025,14412,13784,572,56,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
19130,2024,42444,40736,1297,411,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
19130,2025,42648,40943,1296,409,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
