cod_ine,anio,renta_media,fuente
01052,2017,33320.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2018,31418.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2019,36741.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2020,28008.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2021,29811.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2022,28668.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2023,32098.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01053,2015,35778.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01053,2016,35864.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01053,2017,37323.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01053,2018,36474.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01053,2019,39193.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01053,2020,40177.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
