cod_ine,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,tendencia_turismo,tendencia_especulacion,tendencia_gentrificacion,percentil_proyeccion_duracion_max_ola_calor_dias,percentil_proyeccion_grados_dia_refrigeracion,percentil_proyeccion_racha_seca_max_dias,percentil_tendencia_asequibilidad,percentil_tendencia_turismo,percentil_tendencia_especulacion,percentil_tendencia_gentrificacion,score_riesgo_climatico,n_tendencias_validas,score_tendencia_presion,elegible_score,score_riesgo_futuro,metodo,version_metodologia
29082,2023,2041-2060,SSP2-4.5,ANOMALY,26.074999713897704,123.18842926025393,21.44999961853027,2.5482245264438355,0.4644808743169383,,8.129847047549084,81.78807947019868,37.086092715231786,77.81456953642385,95.73770491803279,59.67213114754098,,98.93992932862191,65.56291390728477,3,84.78325513139856,True,73.25105039693028,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29084,2023,2041-2060,SSP2-4.5,ANOMALY,23.356666798061795,134.87693488862777,22.338981331719292,-2.156958493198463,1.2568306010928936,,-1.4855468956664335,65.56291390728477,42.71523178807947,83.44370860927152,11.147540983606557,75.08196721311475,,30.742049469964666,63.90728476821192,3,38.99051922222866,True,53.94057854981862,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29094,2023,2041-2060,SSP2-4.5,ANOMALY,24.898055617014567,102.62997884750366,21.035833168029782,-0.6330967349921981,0.6284153005464457,,-1.736813548812151,74.50331125827815,29.13907284768212,73.50993377483444,34.75409836065574,62.622950819672134,,28.268551236749115,59.05077262693157,3,41.88186680569233,True,52.18321029843588,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29901,2023,2041-2060,SSP2-4.5,ANOMALY,26.378332805633544,100.47458915710448,21.60333404541016,0.6124406721428259,0.2049180327868782,,1.4134275618374517,83.44370860927152,28.14569536423841,78.47682119205298,68.19672131147541,52.459016393442624,,62.19081272084806,63.35540838852097,3,60.94885014192204,True,62.3927850898814,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
30003,2023,2041-2060,SSP2-4.5,ANOMALY,24.29303024465387,142.70993319424716,21.2765155098655,-1.4152136554094483,1.475409836065571,,6.042423935390992,71.8543046357616,48.34437086092715,75.49668874172185,19.672131147540984,78.68852459016394,,93.28621908127208,65.2317880794702,3,63.88229160632566,True,64.69198949021239,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
30005,2023,2041-2060,SSP2-4.5,ANOMALY,30.364999771118164,251.4648147583008,21.441666412353516,-0.6264494126089346,-1.2295081967213115,,-1.195587471661792,96.35761589403974,99.50331125827815,77.48344370860927,35.08196721311475,24.59016393442623,,33.21554770318021,91.11479028697572,3,30.96255961690706,True,67.05389801894826,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
30015,2023,2041-2060,SSP2-4.5,ANOMALY,29.016036025897876,151.0283734295819,21.77022531870249,0.1518926370687819,0.1229508196721305,,-0.4485966664708058,93.70860927152317,53.311258278145694,80.4635761589404,56.721311475409834,48.85245901639344,,42.40282685512368,75.82781456953643,3,49.32553244897565,True,65.22690172131212,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
30016,2023,2041-2060,SSP2-4.5,ANOMALY,29.513466659545895,167.25581525421143,22.342666702270503,-1.0677218256513228,0.5737704918032804,,4.026715239829994,95.36423841059603,65.56291390728477,84.10596026490066,26.229508196721312,61.967213114754095,,84.80565371024736,81.67770419426049,3,57.66745834057426,True,72.07360585278599,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
30019,2023,2041-2060,SSP2-4.5,ANOMALY,24.92395837903023,210.83050308227536,20.790416884422303,-1.504228697213692,2.7595628415300544,,2.8855368533927734,74.83443708609272,86.75496688741723,70.19867549668874,17.049180327868854,91.14754098360656,,79.15194346289752,77.2626931567329,3,62.44955492479098,True,71.33743786395613,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
30022,2023,2041-2060,SSP2-4.5,ANOMALY,26.22308946469935,185.82441604428175,22.547154459139197,-0.089186505402993,-2.4590163934426243,,-4.371851740470646,82.78145695364239,73.17880794701986,87.41721854304636,48.19672131147541,11.147540983606557,,12.014134275618375,81.12582781456955,3,23.786132190233445,True,58.1899495648351,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
