cod_ine,nombre,score_asequibilidad,asequibilidad_disponible,score_turismo,turismo_disponible,score_especulacion,especulacion_disponible,score_gentrificacion,gentrificacion_disponible,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,score_riesgo_futuro,riesgo_futuro_elegible_origen,version_riesgo_futuro,riesgo_futuro_disponible,capas_actuales_disponibles,capas_ipr5_disponibles,elegible_ipr4_observado,elegible_ipr5_prospectivo,motivo_no_elegible_ipr5,anio_corte,fecha_turismo,tipo_producto
08301,Viladecans,17.049180327868854,True,24.91803278688525,True,51.58469945355191,True,46.99453551912568,True,2023,2041-2060,SSP2-4.5,ANOMALY,39.987973871052674,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08305,Vilafranca del Penedès,49.18032786885246,True,36.393442622950815,True,51.147540983606554,True,35.02732240437159,True,2023,2041-2060,SSP2-4.5,ANOMALY,49.260240770656374,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08307,Vilanova i la Geltrú,29.50819672131147,True,68.36065573770492,True,78.14207650273225,True,52.34972677595628,True,2023,2041-2060,SSP2-4.5,ANOMALY,38.771115705232354,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
09018,Aranda de Duero,71.80327868852459,True,39.34426229508197,True,37.377049180327866,True,47.10382513661202,True,2023,2041-2060,SSP2-4.5,ANOMALY,37.93901796374719,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
09059,Burgos,54.42622950819672,True,55.57377049180327,True,44.15300546448088,True,46.229508196721305,True,2023,2041-2060,SSP2-4.5,ANOMALY,37.22587846584313,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
09219,Miranda de Ebro,83.27868852459017,True,0.819672131147541,True,28.96174863387978,True,41.4207650273224,True,2023,2041-2060,SSP2-4.5,ANOMALY,30.498901106489285,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
10037,Cáceres,71.47540983606558,True,32.622950819672134,True,48.63387978142077,True,45.02732240437158,True,2023,2041-2060,SSP2-4.5,ANOMALY,60.04758994693061,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
10148,Plasencia,83.93442622950819,True,38.19672131147541,True,31.038251366120218,True,44.69945355191257,True,2023,2041-2060,SSP2-4.5,ANOMALY,72.21594731244546,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11004,Algeciras,66.88524590163935,True,44.91803278688525,True,63.715846994535525,True,65.19125683060109,True,2023,2041-2060,SSP2-4.5,ANOMALY,63.86132855183264,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11006,Arcos de la frontera,70.1639344262295,True,51.47540983606557,True,20.546448087431695,True,63.71584699453552,True,2023,2041-2060,SSP2-4.5,ANOMALY,49.67460476086167,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11012,Cádiz,8.524590163934427,True,91.96721311475407,True,36.939890710382514,True,70.92896174863388,True,2023,2041-2060,SSP2-4.5,ANOMALY,,False,2.0,False,4,4,True,False,sin_score_riesgo_futuro,2023,2023-08-01,corte_ipr5_prospectivo
11015,Chiclana de la Frontera,27.21311475409836,True,84.59016393442623,True,60.54644808743169,True,68.74316939890709,True,2023,2041-2060,SSP2-4.5,ANOMALY,47.48478844173997,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11020,Jerez de la Frontera,53.44262295081968,True,51.47540983606557,True,84.26229508196722,True,76.39344262295083,True,2023,2041-2060,SSP2-4.5,ANOMALY,62.26172936312257,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11022,Línea de la Concepción (La),47.868852459016395,True,49.18032786885246,True,67.97814207650273,True,54.6448087431694,True,2023,2041-2060,SSP2-4.5,ANOMALY,57.46562177475362,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11027,Puerto de Santa María,25.901639344262296,True,80.65573770491804,True,71.36612021857923,True,83.82513661202186,True,2023,2041-2060,SSP2-4.5,ANOMALY,51.234946846852715,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11028,Puerto Real,45.90163934426229,True,42.62295081967213,True,65.24590163934427,True,69.6174863387978,True,2023,2041-2060,SSP2-4.5,ANOMALY,57.35029697042469,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11030,Rota,8.19672131147541,True,80.49180327868852,True,68.74316939890711,True,75.95628415300546,True,2023,2041-2060,SSP2-4.5,ANOMALY,52.67217807765309,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11031,San Fernando,43.9344262295082,True,59.50819672131148,True,57.04918032786886,True,67.43169398907104,True,2023,2041-2060,SSP2-4.5,ANOMALY,,False,2.0,False,4,4,True,False,sin_score_riesgo_futuro,2023,2023-08-01,corte_ipr5_prospectivo
11032,Sanlúcar de Barrameda,23.9344262295082,True,75.57377049180329,True,57.595628415300546,True,52.513661202185794,True,2023,2041-2060,SSP2-4.5,ANOMALY,42.429778805721995,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
11033,San Roque,37.049180327868854,True,77.21311475409837,True,89.28961748633878,True,71.03825136612022,True,2023,2041-2060,SSP2-4.5,ANOMALY,62.41465068587655,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
12009,Almazora/Almassora,89.18032786885246,True,30.98360655737705,True,69.6174863387978,True,10.273224043715848,True,2023,2041-2060,SSP2-4.5,ANOMALY,53.23265660623168,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
12027,Benicarló,78.36065573770492,True,76.22950819672131,True,77.04918032786885,True,37.59562841530055,True,2023,2041-2060,SSP2-4.5,ANOMALY,53.67994788839431,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
12032,Burriana,91.8032786885246,True,58.36065573770492,True,61.20218579234973,True,43.16939890710382,True,2023,2041-2060,SSP2-4.5,ANOMALY,51.49235301316256,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
