cod_ine,anio,trimestre,compraventas,fuente
02037,2005,2,70,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2005,3,68,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2005,4,97,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2006,1,105,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2006,2,112,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2006,3,73,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2006,4,162,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2007,1,143,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2007,2,84,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2007,3,74,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2007,4,64,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2008,1,104,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2008,2,146,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2008,3,86,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2008,4,109,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2009,1,54,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2009,2,63,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2009,3,44,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2009,4,53,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2010,1,55,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2010,2,86,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2010,3,41,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2010,4,60,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2011,1,35,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2011,2,30,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2011,3,30,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2011,4,33,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2012,1,22,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2012,2,21,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2012,3,14,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2012,4,70,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2013,1,24,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2013,2,18,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2013,3,25,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2013,4,32,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2014,1,25,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2014,2,175,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2014,3,27,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2014,4,27,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2015,1,25,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2015,2,56,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2015,3,31,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2015,4,37,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2016,1,24,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2016,2,33,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2016,3,25,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2016,4,30,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2017,1,56,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2017,2,51,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2017,3,31,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2017,4,49,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2018,1,42,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2018,2,62,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2018,3,44,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2018,4,76,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2019,1,55,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2019,2,40,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2019,3,43,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2019,4,58,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2020,1,31,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2020,2,28,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2020,3,46,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2020,4,66,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2021,1,74,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2021,2,62,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2021,3,53,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2021,4,93,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2022,1,74,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2022,2,225,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2022,3,58,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2022,4,86,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2023,1,85,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2023,2,69,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2023,3,63,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2023,4,87,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
