cod_ine,anio,calculation_version,component,source_year,statistical_period,coverage_score,recency_score,consistency_score,quality_score,issues
28058,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28058,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28058,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28058,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28061,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28061,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28061,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28061,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28065,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28065,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28065,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28065,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28074,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28074,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28074,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28074,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28079,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28079,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28079,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28079,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28080,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28080,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28080,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28080,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28092,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28092,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28092,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28092,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28096,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28096,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28096,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28096,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28106,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28106,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28106,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28106,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28113,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28113,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28113,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28113,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28115,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28115,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28115,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28115,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28123,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28123,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28123,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28123,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28127,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28127,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28127,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28127,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28130,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28130,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28130,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28130,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28134,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28134,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28134,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28134,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28148,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28148,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28148,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28148,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28161,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28161,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28161,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28161,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28181,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28181,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28181,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28181,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28903,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28903,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28903,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28903,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
29007,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
29007,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
29007,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
29007,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
29015,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
29015,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
29015,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
29015,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
29025,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
29025,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
29025,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
