cod_ine,nombre,anio,asequibilidad_disponible,asequibilidad_observaciones,turismo_disponible,turismo_observaciones,especulacion_disponible,especulacion_observaciones,gentrificacion_disponible,gentrificacion_observaciones,capas_disponibles,elegible_indice_completo,estado_integracion
41065,Morón de la Frontera,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41069,Palacios y Villafranca (Los),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41081,Rinconada (La),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41091,Sevilla,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41095,Utrera,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
42173,Soria,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
43038,Cambrils,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
43123,Reus,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
43148,Tarragona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
43155,Tortosa,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
43163,Vendrell (El),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
43905,Salou,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
44216,Teruel,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
45081,Illescas,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
45165,Talavera de la Reina,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
45168,Toledo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46005,Alaquàs,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46017,Alzira,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46021,Aldaia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46029,Algemesí,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46078,Burjassot,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46094,Catarroja,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
46102,Quart de Poblet,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46110,Xirivella,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46131,Gandia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46145,Xàtiva,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46159,Manises,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46169,Mislata,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46181,Oliva,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46184,Ontinyent,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46190,Paterna,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46220,Sagunto/Sagunt,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46235,Sueca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46244,Torrent,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
46250,Valencia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
47186,Valladolid,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48013,Barakaldo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48015,Basauri,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48020,Bilbao,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48027,Durango,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48036,Galdakao,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48044,Getxo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48054,Leioa,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48078,Portugalete,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48082,Santurtzi,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
48084,Sestao,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
49275,Zamora,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
50297,Zaragoza,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
51001,Ceuta,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
52001,Melilla,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
01059,Vitoria,2016,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02003,Albacete,2016,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02009,Almansa,2016,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
02037,Hellín,2016,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
