cod_ine,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,n_anios_asequibilidad,inicio_asequibilidad,fin_asequibilidad,tendencia_turismo,n_anios_turismo,inicio_turismo,fin_turismo,tendencia_especulacion,n_anios_especulacion,inicio_especulacion,fin_especulacion,tendencia_gentrificacion,n_anios_gentrificacion,inicio_gentrificacion,fin_gentrificacion,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico
07054,35.92499992847443,170.7814717769623,21.15541603565216,0.0,9,2015,2023,-0.751366120218582,4,2020,2023,,2,2022,2023,-1.9214995005581983,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08015,20.96500039100647,123.3608829498291,10.823333358764648,0.46796482086016056,9,2015,2023,-1.8032786885245962,4,2020,2023,,2,2022,2023,1.948317860776541,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08019,21.4880556901296,103.52268079121907,9.147777779897053,-0.10135130971293786,9,2015,2023,-2.8825136612021858,4,2020,2023,,2,2022,2023,-8.68644847915075,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08056,23.48500003814697,120.51039123535156,11.051666641235352,1.159745711647691,9,2015,2023,-1.3797814207650299,4,2020,2023,,2,2022,2023,0.04544079502082118,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08073,24.550833201408388,147.39122505187987,8.974166870117188,0.8270599456811624,9,2015,2023,-1.0792349726775967,4,2020,2023,,2,2022,2023,-3.931336770356637,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08077,22.82833364009857,124.25465106964111,8.677500152587891,1.53972171158845,9,2015,2023,-1.475409836065571,4,2020,2023,,2,2022,2023,-2.7380937303426798,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08089,24.348333263397215,124.72237930297851,10.174999809265136,0.9335792680443646,9,2015,2023,-3.196721311475404,4,2020,2023,,2,2022,2023,-4.822139961219813,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08096,20.620000028610228,157.90523681640624,9.626666259765624,0.6749215207534007,9,2015,2023,-3.606557377049181,4,2020,2023,,2,2022,2023,-1.5312131919905667,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08101,24.43375004529953,117.20299210548401,9.136250162124634,0.9537331776630918,9,2015,2023,-2.431693989071036,4,2020,2023,,2,2022,2023,-4.692380730922764,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08102,20.994999885559082,144.16864395141602,7.950000381469726,1.4306245925056809,9,2015,2023,-2.418032786885246,4,2020,2023,,2,2022,2023,3.5934271756550693,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
