cod_ine,anio,poblacion,fuente
03047,1998,14819,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,1999,15605,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2000,16733,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2001,18037,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2002,20103,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2003,22446,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2004,23653,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2005,25190,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2006,26382,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2007,27768,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2008,29228,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2009,29666,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2010,29909,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2011,29718,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2012,29550,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2013,29442,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2014,22437,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2015,21540,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2016,19591,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2017,20804,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2018,21633,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2019,22725,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2020,23326,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2021,23530,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2022,24096,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2023,25854,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2024,26821,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,2025,27616,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,1996,15200,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,1998,16173,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,1999,17564,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2000,18366,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2001,19238,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2002,20393,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2003,21761,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2004,22380,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2005,23640,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2006,24674,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2007,25055,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2008,26043,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2009,26511,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2010,26941,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2011,27345,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2012,27709,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2013,28184,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2014,27081,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2015,27356,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2016,27384,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2017,27604,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2018,27893,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2019,28349,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2020,28930,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2021,29013,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2022,29409,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2023,29993,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2024,30600,"INE, Padrón municipal, tablas provinciales 2854–2909"
03050,2025,31419,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,1996,23781,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,1998,23945,"INE, Padrón municipal, tablas provinciales 2854–2909"
