componente,variable,anio,archivo,fuente,comparabilidad,cambios_metodologicos,primer_anio,ultimo_anio,frecuencia,municipios_validos,observaciones,cobertura_pct,anios_ausentes
turismo,vut_por_km2,2010,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2011,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2012,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2013,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2014,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2015,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2016,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2017,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2018,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2019,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2020,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,306,100.0,[]
turismo,vut_por_km2,2021,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_km2,2022,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_km2,2023,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_km2,2024,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,918,100.0,[]
