cod_ine,anio,indice_gini,ratio_p80_p20
08305,2021,30.3,2.7
08305,2022,29.6,2.6
08305,2023,29.6,2.5
08307,2015,32.9,2.9
08307,2016,32.4,2.8
08307,2017,31.5,2.8
08307,2018,30.7,2.7
08307,2019,30.0,2.7
08307,2020,30.2,2.7
08307,2021,29.6,2.6
08307,2022,29.9,2.6
08307,2023,29.8,2.6
09018,2015,31.7,2.7
09018,2016,31.4,2.8
09018,2017,30.5,2.6
09018,2018,29.9,2.7
09018,2019,29.3,2.5
09018,2020,29.8,2.5
09018,2021,29.0,2.6
09018,2022,29.3,2.6
09018,2023,28.8,2.5
09059,2015,30.8,2.7
09059,2016,30.4,2.6
09059,2017,29.7,2.4
09059,2018,29.2,2.4
09059,2019,28.8,2.5
09059,2020,29.1,2.5
09059,2021,28.3,2.4
09059,2022,28.2,2.4
09059,2023,28.2,2.4
09219,2015,30.8,2.7
09219,2016,30.4,2.6
09219,2017,29.8,2.4
09219,2018,29.4,2.4
09219,2019,28.6,2.4
09219,2020,28.8,2.4
09219,2021,28.0,2.5
09219,2022,28.2,2.5
09219,2023,28.0,2.4
10037,2015,33.0,3.0
10037,2016,32.9,2.8
10037,2017,32.2,2.8
10037,2018,31.6,2.7
10037,2019,31.0,2.8
10037,2020,30.8,2.7
10037,2021,29.9,2.6
10037,2022,29.9,2.7
10037,2023,29.3,2.5
10148,2015,35.7,3.2
10148,2016,35.3,3.2
10148,2017,34.0,3.0
10148,2018,33.0,2.8
10148,2019,32.6,2.9
10148,2020,32.5,2.9
10148,2021,31.3,2.6
10148,2022,31.0,2.7
10148,2023,30.6,2.7
11004,2015,39.1,4.2
11004,2016,38.0,3.7
11004,2017,37.2,3.8
11004,2018,36.3,3.5
11004,2019,35.5,3.3
11004,2020,35.9,3.6
11004,2021,34.7,3.4
11004,2022,34.4,3.3
11004,2023,33.7,3.1
11006,2015,31.0,2.4
11006,2016,30.5,2.4
11006,2017,28.8,2.3
11006,2018,28.0,2.1
11006,2019,27.4,2.1
11006,2020,28.2,2.3
11006,2021,27.3,2.2
11006,2022,26.9,2.2
11006,2023,25.9,2.2
11012,2015,33.7,2.9
11012,2016,33.8,3.0
11012,2017,33.0,2.8
11012,2018,32.2,2.7
11012,2019,31.5,2.9
11012,2020,31.7,2.9
11012,2021,31.0,2.7
11012,2022,30.8,2.7
11012,2023,30.2,2.7
11015,2015,36.2,3.3
11015,2016,36.1,3.4
11015,2017,34.5,3.0
11015,2018,33.3,2.9
11015,2019,32.2,2.7
11015,2020,32.6,2.7
11015,2021,31.7,2.7
11015,2022,31.3,2.6
11015,2023,30.3,2.6
11020,2015,35.8,3.1
11020,2016,35.3,3.2
11020,2017,34.4,2.9
11020,2018,33.5,2.8
11020,2019,32.6,2.7
11020,2020,32.7,2.7
11020,2021,31.8,2.7
11020,2022,31.3,2.7
11020,2023,30.5,2.6
11022,2015,40.6,4.8
11022,2016,40.8,4.8
11022,2017,39.9,4.2
11022,2018,39.3,3.8
11022,2019,38.4,3.9
11022,2020,38.0,3.9
11022,2021,37.2,3.7
11022,2022,37.0,3.5
11022,2023,36.1,3.4
11027,2015,37.0,3.5
11027,2016,37.0,3.5
11027,2017,35.7,3.2
11027,2018,34.8,3.1
11027,2019,34.0,2.9
11027,2020,34.2,2.9
11027,2021,33.5,2.8
11027,2022,33.1,2.7
11027,2023,32.5,2.7
11028,2015,32.3,2.9
11028,2016,31.9,2.7
11028,2017,30.2,2.6
11028,2018,29.6,2.4
11028,2019,28.8,2.3
11028,2020,28.9,2.3
11028,2021,28.5,2.4
11028,2022,28.3,2.4
11028,2023,27.2,2.2
11030,2015,33.3,2.9
11030,2016,33.1,3.0
11030,2017,32.0,2.8
11030,2018,31.1,2.7
11030,2019,30.1,2.5
11030,2020,30.5,2.5
11030,2021,30.2,2.5
11030,2022,29.8,2.6
11030,2023,29.3,2.4
11031,2015,32.2,2.7
11031,2016,32.1,2.8
11031,2017,31.1,2.6
11031,2018,30.4,2.7
11031,2019,30.0,2.6
11031,2020,30.1,2.6
11031,2021,29.4,2.5
11031,2022,29.0,2.5
11031,2023,28.2,2.4
