cod_ine,anio,pct_renta_alta_200,pct_renta_baja_60
11022,2022,5.9,38.3
11022,2023,5.5,37.7
11027,2015,9.7,30.4
11027,2016,10.5,29.6
11027,2017,9.3,28.6
11027,2018,9.0,27.1
11027,2019,8.5,26.9
11027,2020,8.9,27.6
11027,2021,8.7,26.6
11027,2022,8.3,27.1
11027,2023,7.8,26.5
11028,2015,6.6,26.0
11028,2016,7.3,24.3
11028,2017,6.4,22.1
11028,2018,6.1,21.6
11028,2019,5.8,21.4
11028,2020,5.9,21.4
11028,2021,5.9,21.4
11028,2022,5.1,22.8
11028,2023,4.6,21.3
11030,2015,7.0,27.8
11030,2016,7.6,26.5
11030,2017,7.1,25.7
11030,2018,6.4,24.9
11030,2019,6.0,24.4
11030,2020,6.1,25.1
11030,2021,6.3,24.1
11030,2022,5.7,24.4
11030,2023,5.0,24.8
11031,2015,7.0,25.2
11031,2016,7.7,24.3
11031,2017,6.8,24.0
11031,2018,6.5,22.9
11031,2019,6.3,22.9
11031,2020,6.6,23.1
11031,2021,6.4,22.5
11031,2022,5.4,23.5
11031,2023,4.9,23.0
11032,2015,3.6,45.4
11032,2016,4.0,42.4
11032,2017,3.6,42.5
11032,2018,3.3,40.8
11032,2019,3.2,38.9
11032,2020,3.4,38.7
11032,2021,3.5,38.0
11032,2022,3.0,39.7
11032,2023,2.7,38.6
11033,2015,8.1,32.5
11033,2016,8.3,32.0
11033,2017,8.0,31.1
11033,2018,8.0,29.4
11033,2019,8.2,28.5
11033,2020,8.7,29.5
11033,2021,9.6,28.2
11033,2022,9.4,28.2
11033,2023,9.1,27.5
12009,2015,7.3,25.1
12009,2016,8.2,22.9
12009,2017,7.4,22.0
12009,2018,7.0,20.5
12009,2019,6.4,20.6
12009,2020,6.5,20.0
12009,2021,6.3,19.6
12009,2022,5.1,20.8
12009,2023,4.8,22.7
12027,2015,7.8,30.0
12027,2016,7.8,28.0
12027,2017,7.3,27.3
12027,2018,6.8,27.4
12027,2019,6.5,27.2
12027,2020,6.8,28.0
12027,2021,6.4,27.8
12027,2022,5.4,30.4
12027,2023,5.1,31.9
12032,2015,7.9,26.0
12032,2016,8.7,24.1
12032,2017,8.3,23.4
12032,2018,8.1,22.4
12032,2019,7.6,22.7
12032,2020,8.1,22.2
12032,2021,8.0,21.9
12032,2022,6.9,23.3
12032,2023,6.1,24.8
12040,2015,13.0,23.6
12040,2016,13.8,21.8
12040,2017,12.5,20.7
12040,2018,12.1,19.6
12040,2019,11.5,19.9
12040,2020,11.6,19.5
12040,2021,11.3,18.5
12040,2022,10.1,20.2
12040,2023,8.9,21.8
12084,2015,7.7,22.2
12084,2016,8.4,19.8
12084,2017,7.6,18.5
12084,2018,7.3,18.0
12084,2019,6.9,17.6
12084,2020,7.3,16.9
12084,2021,7.3,16.0
12084,2022,6.2,17.2
12084,2023,5.5,19.4
12126,2015,6.3,24.1
12126,2016,6.8,23.2
12126,2017,6.2,21.3
12126,2018,6.0,20.3
12126,2019,5.8,18.6
12126,2020,6.3,18.1
12126,2021,6.1,17.2
12126,2022,5.6,18.8
12126,2023,4.9,20.1
12135,2015,8.7,21.9
12135,2016,9.5,19.9
12135,2017,9.1,18.5
12135,2018,8.9,17.8
12135,2019,8.2,17.9
12135,2020,8.3,18.0
12135,2021,7.9,17.5
12135,2022,6.9,18.3
12135,2023,6.3,19.6
12138,2015,7.9,28.2
12138,2016,8.0,26.3
12138,2017,7.1,25.5
12138,2018,6.6,24.7
12138,2019,6.7,24.0
12138,2020,7.2,24.2
12138,2021,6.9,23.6
12138,2022,5.7,24.8
12138,2023,5.8,25.0
13005,2015,9.9,23.4
13005,2016,10.1,23.5
13005,2017,9.5,21.4
13005,2018,9.0,20.4
13005,2019,8.6,20.4
13005,2020,9.1,20.6
13005,2021,8.9,20.2
13005,2022,7.5,20.8
13005,2023,7.0,21.5
13034,2015,17.3,19.5
13034,2016,18.0,18.9
13034,2017,16.8,18.6
13034,2018,15.9,18.3
13034,2019,14.9,18.1
13034,2020,15.7,18.2
13034,2021,15.0,17.7
13034,2022,13.1,18.4
13034,2023,12.0,18.8
13071,2015,11.1,25.9
13071,2016,11.2,25.2
13071,2017,10.1,25.3
13071,2018,9.6,24.3
13071,2019,8.8,24.0
13071,2020,9.2,24.4
13071,2021,8.5,24.4
13071,2022,7.7,25.2
13071,2023,6.7,26.1
13082,2015,3.9,37.2
13082,2016,4.4,35.0
13082,2017,4.2,32.2
13082,2018,4.5,30.4
13082,2019,3.9,31.1
13082,2020,4.1,31.2
13082,2021,4.0,31.4
13082,2022,3.3,32.4
13082,2023,3.0,33.5
13087,2015,7.4,29.1
13087,2016,7.9,27.3
13087,2017,7.2,27.6
