cod_ine,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
28022,2023,1200.0,observado,EUR/mes,external_validation
28045,2023,672.9,observado,EUR/mes,external_validation
28047,2023,650.0,observado,EUR/mes,external_validation
28049,2023,700.0,observado,EUR/mes,external_validation
28058,2023,650.0,observado,EUR/mes,external_validation
28061,2023,600.0,observado,EUR/mes,external_validation
28065,2023,670.8,observado,EUR/mes,external_validation
28074,2023,650.0,observado,EUR/mes,external_validation
28079,2023,825.0,observado,EUR/mes,external_validation
28080,2023,1078.4,observado,EUR/mes,external_validation
28092,2023,676.9,observado,EUR/mes,external_validation
28096,2023,616.9,observado,EUR/mes,external_validation
28106,2023,606.6,observado,EUR/mes,external_validation
28113,2023,660.0,observado,EUR/mes,external_validation
28115,2023,1200.0,observado,EUR/mes,external_validation
28123,2023,845.0,observado,EUR/mes,external_validation
28127,2023,950.0,observado,EUR/mes,external_validation
28130,2023,665.0,observado,EUR/mes,external_validation
28134,2023,799.2,observado,EUR/mes,external_validation
28148,2023,686.4,observado,EUR/mes,external_validation
28161,2023,650.0,observado,EUR/mes,external_validation
28181,2023,867.0,observado,EUR/mes,external_validation
28903,2023,904.9,observado,EUR/mes,external_validation
29007,2023,584.8,observado,EUR/mes,external_validation
29015,2023,460.0,observado,EUR/mes,external_validation
29025,2023,650.0,observado,EUR/mes,external_validation
29051,2023,617.7,observado,EUR/mes,external_validation
29054,2023,639.3,observado,EUR/mes,external_validation
29067,2023,665.9,observado,EUR/mes,external_validation
29069,2023,750.0,observado,EUR/mes,external_validation
29070,2023,597.3,observado,EUR/mes,external_validation
29082,2023,650.0,observado,EUR/mes,external_validation
29084,2023,400.0,observado,EUR/mes,external_validation
29094,2023,500.0,observado,EUR/mes,external_validation
29901,2023,604.3,observado,EUR/mes,external_validation
30003,2023,400.0,observado,EUR/mes,external_validation
30005,2023,400.0,observado,EUR/mes,external_validation
30015,2023,350.0,observado,EUR/mes,external_validation
30016,2023,470.0,observado,EUR/mes,external_validation
30019,2023,325.0,observado,EUR/mes,external_validation
30022,2023,350.0,observado,EUR/mes,external_validation
30024,2023,425.0,observado,EUR/mes,external_validation
30026,2023,350.0,observado,EUR/mes,external_validation
30027,2023,468.8,observado,EUR/mes,external_validation
30030,2023,500.0,observado,EUR/mes,external_validation
30035,2023,400.0,observado,EUR/mes,external_validation
30037,2023,400.0,observado,EUR/mes,external_validation
30039,2023,375.0,observado,EUR/mes,external_validation
30043,2023,320.0,observado,EUR/mes,external_validation
31201,2023,650.0,observado,EUR/mes,external_validation
31232,2023,500.0,observado,EUR/mes,external_validation
32054,2023,400.0,observado,EUR/mes,external_validation
33004,2023,425.0,observado,EUR/mes,external_validation
