cod_ine,nombre,anio,ipr4_nacional_observado,ipr5_prospectivo,cuartil_ipr,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
28065,Getafe,2023,49.59498553519769,53.33123439365976,Q2,2023,670.8,observado,EUR/mes,external_validation
28074,Leganés,2023,44.609450337512065,49.14319834979916,Q2,2023,650.0,observado,EUR/mes,external_validation
28079,Madrid,2023,69.22854387656702,68.23167951362501,Q4,2023,825.0,observado,EUR/mes,external_validation
28080,Majadahonda,2023,54.513018322082935,57.01487352079036,Q3,2023,1078.4,observado,EUR/mes,external_validation
28092,Móstoles,2023,47.7145612343298,52.97459559222669,Q2,2023,676.9,observado,EUR/mes,external_validation
28096,Navalcarnero,2023,37.839922854387666,46.96525892954077,Q2,2023,616.9,observado,EUR/mes,external_validation
28106,Parla,2023,44.70588235294118,51.46026490066225,Q2,2023,606.6,observado,EUR/mes,external_validation
28113,Pinto,2023,35.564127290260366,39.815600911953105,Q1,2023,660.0,observado,EUR/mes,external_validation
28115,Pozuelo de Alarcón,2023,56.42237222757956,58.488817717945935,Q3,2023,1200.0,observado,EUR/mes,external_validation
28123,Rivas-Vaciamadrid,2023,41.735776277724206,46.89925089566822,Q2,2023,845.0,observado,EUR/mes,external_validation
28127,Rozas de Madrid (Las),2023,35.60270009643202,40.54375203560959,Q1,2023,950.0,observado,EUR/mes,external_validation
28130,San Fernando de Henares,2023,34.001928640308584,35.11024861578547,Q1,2023,665.0,observado,EUR/mes,external_validation
28134,San Sebastián de los Reyes,2023,60.829315332690456,65.51286505265443,Q3,2023,799.2,observado,EUR/mes,external_validation
28148,Torrejón de Ardoz,2023,60.636451301832224,61.37542069265009,Q3,2023,686.4,observado,EUR/mes,external_validation
28161,Valdemoro,2023,43.47155255544841,50.85810444034307,Q2,2023,650.0,observado,EUR/mes,external_validation
28181,Villaviciosa de Odón,2023,43.87656702025073,51.6493866029747,Q2,2023,867.0,observado,EUR/mes,external_validation
28903,Tres Cantos,2023,46.22950819672131,48.1858104440343,Q2,2023,904.9,observado,EUR/mes,external_validation
29007,Alhaurín de la Torre,2023,64.64802314368372,65.08327000325698,Q4,2023,584.8,observado,EUR/mes,external_validation
29015,Antequera,2023,35.37126325940213,37.764249267180546,Q1,2023,460.0,observado,EUR/mes,external_validation
