cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
41059,2023,39.83606557377049,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41065,2023,19.54676952748313,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41069,2023,25.47733847637416,,,0.4080226957761215,0.632,0.874601226993865,LL,NS,NS,False,False,True,,3,"['41004', '41038', '41095']",-1.4397237700838659,-0.2846975382538528,47.29668916747027,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41081,2023,55.04339440694311,,,0.015011817774275339,0.852,0.9453465346534654,HH,NS,NS,False,False,True,,2,"['41024', '41091']",0.12538101488555967,0.1202763026058159,54.946962391513985,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41091,2023,77.47348119575699,,,0.005482090545766569,0.998,0.998,HH,NS,NS,False,False,True,,5,"['41004', '41021', '41024', '41038', '41081']",1.3127370911539495,0.004195145364443761,52.754098360655746,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41095,2023,36.34522661523626,,,0.4099946603451658,0.432,0.874601226993865,LL,NS,NS,False,False,True,,3,"['41004', '41038', '41069']",-0.8644226961567486,-0.4764645628962252,43.67405978784957,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
42173,2023,46.374156219865,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
43038,2023,65.26518804243008,,,0.33346327557532346,0.55,0.874601226993865,HH,NS,NS,False,False,True,,1,['43905'],0.666480516538394,0.5026192523586207,62.169720347155256,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
43123,2023,41.24397299903568,,,-0.2615513069047065,0.604,0.874601226993865,LH,NS,NS,False,False,True,,1,['43148'],-0.6051033123457675,0.43421610781005443,60.87753134040501,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
43148,2023,60.87753134040501,,,-0.2615513069047065,0.598,0.874601226993865,HL,NS,NS,False,False,True,,1,['43123'],0.43421610781005443,-0.6051033123457675,41.24397299903568,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
